,pIC50,method
102,5.411168274405793,tanimoto_maccs
103,5.239577516576788,tanimoto_maccs
104,4.494850021680095,tanimoto_maccs
105,5.385102783966866,tanimoto_maccs
106,5.441291429466834,tanimoto_maccs
107,4.572838597074035,tanimoto_maccs
108,4.681727919788374,tanimoto_maccs
109,4.614036429399303,tanimoto_maccs
110,4.90587840415944,tanimoto_maccs
111,4.857923538926715,tanimoto_maccs
112,6.251811972993799,tanimoto_maccs
113,5.489454989793388,tanimoto_maccs
114,8.221848749616356,tanimoto_maccs
115,4.964570261815452,tanimoto_maccs
116,5.896196279044043,tanimoto_maccs
117,6.074687908500351,tanimoto_maccs
118,5.6401645176601125,tanimoto_maccs
119,6.856985199745905,tanimoto_maccs
120,7.070581074285707,tanimoto_maccs
121,7.866461091629782,tanimoto_maccs
122,8.301029995663981,tanimoto_maccs
123,6.522878745280337,tanimoto_maccs
124,7.0,tanimoto_maccs
125,7.0,tanimoto_maccs
126,7.292429823902063,tanimoto_maccs
127,8.048176964684089,tanimoto_maccs
128,7.698970004336019,tanimoto_maccs
129,7.769551078621726,tanimoto_maccs
130,7.3214816209598865,tanimoto_maccs
131,8.031050319018657,tanimoto_maccs
132,7.795880017344075,tanimoto_maccs
133,9.18045606445813,tanimoto_maccs
134,9.387216143280265,tanimoto_maccs
135,8.087777943467584,tanimoto_maccs
136,9.193820026016112,tanimoto_maccs
137,8.978810700930062,tanimoto_maccs
138,7.492144128304169,tanimoto_maccs
139,3.346787486224657,tanimoto_maccs
140,8.096910013008056,tanimoto_maccs
141,5.698970004336019,tanimoto_maccs
142,8.154901959985743,tanimoto_maccs
143,8.209011524911185,tanimoto_maccs
144,5.52432881167557,tanimoto_maccs
145,8.096910013008056,tanimoto_maccs
146,5.638272163982407,tanimoto_maccs
147,5.039053804266169,tanimoto_maccs
148,5.481486060122113,tanimoto_maccs
149,5.853871964321762,tanimoto_maccs
150,4.0,tanimoto_maccs
151,4.0,tanimoto_maccs
152,4.0,tanimoto_maccs
153,5.413412695328246,tanimoto_maccs
154,6.801342913045577,tanimoto_maccs
155,5.414539270491499,tanimoto_maccs
156,5.274088367704953,tanimoto_maccs
157,7.481486060122113,tanimoto_maccs
158,6.259637310505757,tanimoto_maccs
159,5.318758762624412,tanimoto_maccs
160,5.939302159646388,tanimoto_maccs
161,7.075720713938119,tanimoto_maccs
162,5.301029995663981,tanimoto_maccs
163,4.823908740944319,tanimoto_maccs
164,7.173925197299174,tanimoto_maccs
165,4.906578314837765,tanimoto_maccs
166,5.801342913045577,tanimoto_maccs
167,5.853871964321762,tanimoto_maccs
168,5.027797161620936,tanimoto_maccs
169,5.696803942579511,tanimoto_maccs
170,5.565431095965802,tanimoto_maccs
171,4.0,tanimoto_maccs
172,4.688246138944246,tanimoto_maccs
173,5.982966660701219,tanimoto_maccs
174,4.991399828238083,tanimoto_maccs
175,5.161150909262745,tanimoto_maccs
176,5.429457060118103,tanimoto_maccs
177,5.752026733638194,tanimoto_maccs
178,6.041914151478915,tanimoto_maccs
179,5.190440285364733,tanimoto_maccs
180,5.659555885159882,tanimoto_maccs
181,4.0,tanimoto_maccs
182,6.124360062995832,tanimoto_maccs
183,4.958607314841776,tanimoto_maccs
184,6.359518563029578,tanimoto_maccs
185,6.568636235841012,tanimoto_maccs
186,4.769551078621726,tanimoto_maccs
