,molecule_chembl_id,SMILES,pIC50,ROMol,maccs,morgan,tanimoto_maccs,dice_maccs,tanimoto_morgan,dice_morgan
5901,CHEMBL593987,COc1cc2c(Nc3ccc(-c4nc5ccccc5s4)c(F)c3)ncnc2cc1OCCCN1CCN(C)CC1,6.366531544420414,<rdkit.Chem.rdchem.Mol object at 0x748ec97fec00>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x748ec95aa2d0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x748ec9465690>,0.7887323943661971,0.8818897637795275,0.5662650602409639,0.7230769230769231
5910,CHEMBL595615,COc1cc2c(Nc3ccc(-c4nc5ccccc5s4)cc3)ncnc2cc1OCCCN1CCN(C)CC1,7.337242168318426,<rdkit.Chem.rdchem.Mol object at 0x748ec97feff0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x748ec95aa6c0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x748ec9466650>,0.7323943661971831,0.8455284552845529,0.524390243902439,0.688
5913,CHEMBL596087,COc1cc2c(Nc3ccc(-c4nc5ccccc5s4)c(C)c3)ncnc2cc1OCCCN1CCN(C)CC1,7.494850021680094,<rdkit.Chem.rdchem.Mol object at 0x748ec97ff140>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x748ec95aa810>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x748ec9466b90>,0.7222222222222222,0.8387096774193549,0.5176470588235295,0.6821705426356589
5914,CHEMBL596736,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCCC(=O)NO,8.0268721464003,<rdkit.Chem.rdchem.Mol object at 0x748ec97ff1b0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x748ec95aa880>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x748ec9466d50>,0.6493506493506493,0.7874015748031497,0.6388888888888888,0.7796610169491526
5926,CHEMBL597551,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCC(=O)NO,8.148741651280925,<rdkit.Chem.rdchem.Mol object at 0x748ec97ff6f0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x748ec95aadc0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x748ec94682e0>,0.6282051282051282,0.7716535433070866,0.6338028169014085,0.7758620689655172
5927,CHEMBL597569,COCCOc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCCCCC(=O)NO,7.982966660701219,<rdkit.Chem.rdchem.Mol object at 0x748ec97ff760>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x748ec95aae30>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x748ec94684a0>,0.6708860759493671,0.803030303030303,0.5584415584415584,0.7166666666666667
5929,CHEMBL597752,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCC(=O)NO,8.10790539730952,<rdkit.Chem.rdchem.Mol object at 0x748ec97ff840>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x748ec95aaf10>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x748ec9468820>,0.6363636363636364,0.7777777777777778,0.647887323943662,0.7863247863247863
5930,CHEMBL597773,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)CCCCCCC(=O)NO,8.67778070526608,<rdkit.Chem.rdchem.Mol object at 0x748ec97ff8b0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x748ec95aaf80>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x748ec94689e0>,0.6410256410256411,0.78125,0.5189873417721519,0.6833333333333333
5933,CHEMBL597949,C#CCOc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC,7.829738284605042,<rdkit.Chem.rdchem.Mol object at 0x748ec97ffa00>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x748ec95ab0d0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x748ec9468f20>,0.7213114754098361,0.8380952380952381,0.6323529411764706,0.7747747747747747
5937,CHEMBL598163,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCCCC(=O)NO,8.468521082957745,<rdkit.Chem.rdchem.Mol object at 0x748ec97ffbc0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x748ec95ab290>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x748ec9469620>,0.6623376623376623,0.796875,0.6301369863013698,0.773109243697479
