"NumHeavyAtoms","NumStereocenters","NumAromaticHeterocycles","NumSaturatedCarbocycles","slogp_VSA4","slogp_VSA7","slogp_VSA9","slogp_VSA10","slogp_VSA11","smr_VSA8","peoe_VSA4","peoe_VSA5","peoe_VSA6","peoe_VSA12","peoe_VSA14","MQN4","MQN5","MQN6","MQN11","MQN18","MQN33","MQN34","MQN37","MQN38","MQN39","MQN40","Prediction (pIC50)"
31,0,2,0,5.817220841045895,5.022633313741326,0,21.027222580032742,0,0,0,11.336785877934737,17.667306958694127,0,0,0,0,2,0,0,0,0,0,0,0,0,7.292214497232225
28,0,2,0,6.923737199690624,0,0,17.323111830353618,0,0,0,0,12.13273413692322,0,0,0,0,0,1,0,0,0,0,0,0,0,7.165146834483402
27,0,2,0,0,0,0,17.323111830353618,0,0,0,0,21.99631096641096,0,0,1,0,0,1,0,0,0,0,0,0,0,7.82950108898629
36,0,2,0,5.817220841045895,5.022633313741326,0,15.89566410019341,5.749511833283905,0,0,0,23.733674027155736,0,5.907179729351506,0,0,0,1,0,0,0,0,0,0,0,7.222320191559349
26,0,2,0,5.817220841045895,5.022633313741326,0,15.89566410019341,0,0,5.098681808301038,0,11.600939890232516,0,0,0,0,0,0,0,0,0,0,0,0,0,7.619700049804784
27,0,2,0,0,5.022633313741326,0,11.50524905251859,5.749511833283905,0,5.098681808301038,0,11.600939890232516,0,0,0,0,0,0,0,0,0,0,0,0,0,7.346430945442711
28,0,2,0,0,0,0,17.323111830353618,0,0,0,0,21.99631096641096,0,0,1,0,0,1,0,0,0,0,0,0,0,7.827007646170028
27,0,2,0,6.923737199690624,0,0,17.323111830353618,0,0,0,0,12.13273413692322,0,0,0,0,0,1,0,0,0,0,0,0,0,7.169159673964731
35,0,1,0,12.740958040736519,5.022633313741326,0,15.89566410019341,5.749511833283905,0,0,0,28.889386753906276,0,0,0,0,0,1,0,0,0,0,0,0,0,7.214843590830979
36,0,1,0,12.740958040736519,5.022633313741326,0,15.89566410019341,5.749511833283905,0,0,0,28.889386753906276,0,0,0,0,0,1,0,0,0,0,0,0,0,7.209689329880535
37,0,1,0,12.740958040736519,5.022633313741326,0,15.89566410019341,5.749511833283905,0,0,0,41.932775232540564,0,0,0,0,0,1,0,0,0,0,0,0,0,7.227836517751627
35,0,1,0,24.581826678447808,5.022633313741326,0,15.89566410019341,5.749511833283905,0,0,0,35.574542664867025,0,0,0,0,0,1,0,0,0,0,0,0,0,7.496039030191555
39,0,1,0,24.581826678447808,5.022633313741326,0,15.89566410019341,5.749511833283905,0,0,0,47.70727680179024,0,0,0,0,0,1,0,0,0,0,0,0,0,7.505912612489316
38,0,1,0,12.740958040736519,5.022633313741326,0,15.89566410019341,5.749511833283905,0,0,0,23.733674027155736,5.907179729351506,0,0,0,0,1,0,0,0,0,0,0,0,7.624673605451596
