row ID;molecule_chembl_id;Units;IC50;SMILES;First(target_chembl_id (#1));pIC50
Row2667;CHEMBL2348417;nM;36;O=C(NCCO)C1=Cc2c(ncnc2Nc2ccc(Oc3cccc4sccc34)c(Cl)c2)NCC1;CHEMBL203;7.443697499232713
Row2668;CHEMBL2348418;nM;47;CS(=O)(=O)CCNC(=O)C1=Cc2c(ncnc2Nc2ccc(Oc3cccc4sccc34)c(Cl)c2)NCC1;CHEMBL203;7.327902142064283
Row2669;CHEMBL2348419;nM;110;COC(=O)C1=Cc2c(ncnc2Nc2ccc(Oc3cccc(C(F)(F)F)c3)c(Cl)c2)NCC1;CHEMBL203;6.958607314841775
Row2674;CHEMBL2374457;nM;58;COCCCN1CCC([C@H]2CC[C@H](n3nc(-c4ccc5nc(Cc6ccccc6Cl)[nH]c5c4)c4c(N)ncnc43)CC2)CC1;CHEMBL203;7.236572006437063
Row2675;CHEMBL2374458;nM;58;COc1ccccc1Cc1nc2ccc(-c3nn([C@H]4CC[C@H](C5CCN(C)CC5)CC4)c4ncnc(N)c34)cc2[nH]1;CHEMBL203;7.236572006437063
Row2678;CHEMBL2381504;nM;42;C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(CC(=O)N5CCC(Oc6no[n+]([O-])c6S(=O)(=O)c6ccccc6)CC5)CC4)cc3OC)ncc2Cl)c1;CHEMBL203;7.376750709602099
Row2679;CHEMBL2381505;nM;73;C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(CC(=O)NCC(C)Oc5no[n+]([O-])c5S(=O)(=O)c5ccccc5)CC4)cc3OC)ncc2Cl)c1;CHEMBL203;7.136677139879544
Row2680;CHEMBL2381506;nM;59;C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(CC(=O)OCCOc5no[n+]([O-])c5S(=O)(=O)c5ccccc5)CC4)cc3OC)ncc2Cl)c1;CHEMBL203;7.229147988357855
Row2681;CHEMBL2381507;nM;99;C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(CC(=O)OCCCOc5no[n+]([O-])c5S(=O)(=O)c5ccccc5)CC4)cc3OC)ncc2Cl)c1;CHEMBL203;7.00436480540245
Row2682;CHEMBL2381508;nM;174;C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(CC(=O)OCCCCOc5no[n+]([O-])c5S(=O)(=O)c5ccccc5)CC4)cc3OC)ncc2Cl)c1;CHEMBL203;6.7594507517174005
Row2683;CHEMBL2381509;nM;52;C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(CC(=O)OCC#CCOc5no[n+]([O-])c5S(=O)(=O)c5ccccc5)CC4)cc3OC)ncc2Cl)c1;CHEMBL203;7.2839966563652006
Row2684;CHEMBL2381510;nM;101;C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(CC(=O)OCCOCCOc5no[n+]([O-])c5S(=O)(=O)c5ccccc5)CC4)cc3OC)ncc2Cl)c1;CHEMBL203;6.995678626217357
Row2685;CHEMBL2381511;nM;292;C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(CC(=O)OCCCCCCOc5no[n+]([O-])c5S(=O)(=O)c5ccccc5)CC4)cc3OC)ncc2Cl)c1;CHEMBL203;6.5346171485515825
Row2686;CHEMBL2381514;nM;51;C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(CC(=O)NCCOc5no[n+]([O-])c5S(=O)(=O)c5ccccc5)CC4)cc3OC)ncc2Cl)c1;CHEMBL203;7.292429823902063
Row2687;CHEMBL2381515;nM;59;C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(CC(=O)NCCCOc5no[n+]([O-])c5S(=O)(=O)c5ccccc5)CC4)cc3OC)ncc2Cl)c1;CHEMBL203;7.229147988357855
Row2688;CHEMBL2381516;nM;39;C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(CC(=O)N5CCN(CCOc6no[n+]([O-])c6S(=O)(=O)c6ccccc6)CC5)CC4)cc3OC)ncc2Cl)c1;CHEMBL203;7.4089353929735005
Row2694;CHEMBL2385959;nM;460;Cc1ncnc(Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)c1/C=C/c1ccc(CNCCS(C)(=O)=O)o1;CHEMBL203;6.337242168318426
Row2695;CHEMBL2385960;nM;45;Cc1ncnc(Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)c1C#Cc1ccc(CNCCS(C)(=O)=O)o1;CHEMBL203;7.346787486224656
Row2699;CHEMBL2385964;nM;1500;Cc1ncc(C#N)c(Nc2ccc(OCc3ccccn3)c(Cl)c2)c1C#Cc1ccc(CNCCS(C)(=O)=O)o1;CHEMBL203;5.823908740944319
Row2702;CHEMBL2385967;nM;2300;CN1CCN(Cc2ccc(C(=O)Nc3ccc(-c4cncc(C#N)c4Nc4ccc(OCc5ccccn5)c(Cl)c4)cc3)cc2)CC1;CHEMBL203;5.638272163982407
Row2703;CHEMBL2385968;nM;660;CN(C)C/C=C/C(=O)Nc1ccc(-c2cncc(C#N)c2Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)cc1;CHEMBL203;6.180456064458132
Row2704;CHEMBL2385969;nM;2500;CN1CCN(Cc2ccc(C(=O)Nc3ccc(-c4cncc(C#N)c4Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)cc3)cc2)CC1;CHEMBL203;5.6020599913279625
Row2705;CHEMBL2385970;nM;3500;CN(C)C/C=C/C(=O)Nc1ccc(-c2cncc(C#N)c2Nc2ccc(F)c(Cl)c2)cc1;CHEMBL203;5.455931955649724
Row2706;CHEMBL2385971;nM;3000;CN1CCN(Cc2ccc(C(=O)Nc3ccc(-c4cncc(C#N)c4Nc4ccc(F)c(Cl)c4)cc3)cc2)CC1;CHEMBL203;5.522878745280338
Row2709;CHEMBL2385974;nM;850;CCOc1cc([N+](=O)[O-])c(C(=O)Nc2ccc(OCc3ccccn3)c(Cl)c2)cc1NC(=O)/C=C/CN(C)C;CHEMBL203;6.070581074285707
Row2710;CHEMBL2385975;nM;800;CCOc1cc(N)c(C(=O)Nc2ccc(OCc3ccccn3)c(Cl)c2)cc1NC(=O)/C=C/CN(C)C;CHEMBL203;6.096910013008056
Row2711;CHEMBL2385976;nM;900;CCOc1cc([N+](=O)[O-])c(C(=O)Nc2ccc(OCc3ccccn3)c(Cl)c2)cc1NC(=O)c1ccc(CN2CCN(C)CC2)cc1;CHEMBL203;6.045757490560675
